Feature,Data_Type,Non_Null_Count,Null_Count,Unique_Values,Min_Value,Max_Value,Mean_Value,Std_Value,Importance_Score
1h_Close,float64,14950,0,146,168.063,170.0,169.99246127090302,0.0853944133901059,0.7
1h_Open,float64,14950,0,146,168.063,170.0,169.99246127090302,0.0853944133901059,0.6859677564376936
1h_High,float64,14950,0,129,168.233,170.0,169.99435177257524,0.06993002677386415,0.6842265712406664
distance_to_resistance,float64,14950,0,146,0.0,178.0000000000001,0.6035250836120398,7.033256171167289,0.6715419646436388
1h_ema_21,float64,14950,0,476,168.6759958245186,170.0,169.99246127090302,0.07827448237989511,0.6471832126833197
1h_stoch_d,float64,14950,0,159,6.923191497135067,100.0,99.48895593277462,5.547738422939115,0.640288879396385
1h_stoch_k,float64,14950,0,151,0.0,100.0,99.48895593277462,5.697872650526889,0.6327355033524209
volume_weighted_price,float64,14950,0,12823,168.6486307694954,169.99894413872775,169.99107451554238,0.0797323566358241,0.6275167057220947
1h_sma_20,float64,14950,0,192,168.59644999999998,170.0,169.99246127090302,0.08005614986977773,0.6251474251885928
1h_bb_middle,float64,14950,0,192,168.59644999999998,170.0,169.99246127090302,0.08005614986977773,0.6251474251885928
1h_bb_lower,float64,14950,0,192,167.68846091241622,170.0,169.98607674791873,0.1366090665243492,0.6204078069436425
1h_ema_50,float64,14950,0,593,168.9229241680208,170.0,169.99246127094506,0.07221527117319583,0.5965903420013619
1h_bb_width,float64,14950,0,192,0.0,0.0134920318292783,7.541367773602136e-05,0.0007167503744084124,0.5726721887304833
1h_sma_50,float64,14950,0,205,168.82114,170.0,169.99246127090302,0.07493678496467876,0.5646238346611463
1h_doji,int64,14950,0,2,0.0,1.0,0.991304347826087,0.09284726402491009,0.5574179442460164
sr_test_count,float64,14950,0,16,5.0,20.0,19.933110367892976,0.7830872610581415,0.5287982556650411
range_efficiency,float64,14950,0,157,0.0,0.9977628635346756,0.004425529745353963,0.05442103600434635,0.47744259796016286
price_vs_volatility,float64,14950,0,157,0.0,1.4901694915254153,0.004050152883217768,0.050802955623631,0.4447030614491592
1h_Low,float64,14950,0,592,167.919,169.973,169.79991484949832,0.1332531914986607,0.44332045425881694
accumulation_distribution,float64,14950,0,14949,282267.3833839637,87802046.84515034,44495141.96633924,25497137.004742235,0.3988771340561398
1h_bb_upper,float64,14950,0,192,169.23523124838576,170.46367713114813,169.9988457938873,0.03888494177696535,0.3945090271757402
fibonacci_confluence,int64,14950,0,2,0.0,1.0,0.004749163879598662,0.06875263998095998,0.34863837693434097
atr_normalized,float64,14950,0,6171,0.06525210084033721,0.28787716340532365,0.11437340590143778,0.019338710646256366,0.34084802611980347
1h_atr_14,float64,14950,0,6161,0.11092857142857326,0.4871428571428546,0.19441812709030104,0.03278092144714103,0.3377225521288278
1h_macd,float64,14950,0,541,-0.32460498802993243,0.2855870451372482,-1.1425717302791176e-15,0.014744508936997464,0.33277247690009526
1h_30m_price_divergence,int64,14950,0,2,0.0,1.0,0.00548494983277592,0.07385952921891158,0.329893204745553
inside_bar_sequence,int64,14950,0,2,0.0,1.0,0.0023411371237458192,0.04833024355771961,0.3178332406796162
1h_macd_signal,float64,14950,0,593,-0.25388995978733003,0.2544414955342341,-1.1882282597466458e-15,0.013285457626200184,0.3148903744407085
1h_trend_strength,float64,14950,0,480,-0.002123137704187153,0.0018576279026224563,3.822578469337174e-09,8.74316635110742e-05,0.2917862763050179
swing_high_strength,float64,14950,0,37,0.0,2.356176318440469,0.0024870140427716565,0.05746906810548568,0.26735027236423026
stoch_cross_signal,int64,14950,0,2,0.0,1.0,0.002274247491638796,0.04763640496248622,0.26449879486894906
1h_bb_position,float64,14950,0,192,-0.5621322893116153,1.1122202718995549,-0.5190247206821917,0.2161573114100392,0.250796566808302
15m_rsi,float64,14950,0,774,0.0,100.0,93.78006193817941,22.010743441053854,0.2382901197115841
1h_price_z_score,float64,14950,0,193,-4.188869306787579,2.4418756248101956,-0.0014482589129296338,0.15833616338307901,0.2197313679788965
1h_roc_10,float64,14950,0,175,-0.9050893598967602,0.6714879102464488,4.888798568847951e-06,0.03126023545581668,0.21584294748767008
rsi_divergence_mtf,int64,14950,0,2,0.0,1.0,0.001003344481605351,0.03166077750067145,0.1764841052145513
1h_rsi,float64,14950,0,173,0.0,100.0,3.29567367058586,17.04160669234764,0.14534964455606803
1h_macd_histogram,float64,14950,0,593,-0.1198357817796683,0.1189256734541375,4.5630537624142304e-17,0.005719941220371916,0.12641808809756885
mtf_trend_alignment,float64,14950,0,3,0.0,0.6666666666666666,0.012040133779264212,0.06231803299259683,0.11121908324125457
spread_vs_volatility,float64,14950,0,14292,4.979894834519046,42.884492661135226,18.356173483191828,5.3688431385461115,0.10619338508979319
price_volume_correlation,float64,14950,0,212,-0.7881246774621439,0.8158617899143152,0.005000002950366633,0.045532163807755766,0.09321827526358825
distance_to_support,float64,14950,0,376,0.0,153.49999999999966,41.068541806020065,6.994996516563233,0.07922400005215932
spread_sma_20,float64,14950,0,570,2.82,4.26,3.50035016722408,0.19378937229823628,0.05893281235522529
15m_pin_bar,int64,14950,0,2,0.0,1.0,0.9697658862876254,0.17123660069160274,0.04565974814364735
high_low_correlation,float64,14950,0,198,-0.0246097126557771,0.9425033646219867,0.7075478861953408,0.029052090734660328,0.045396918771008155
volatility_regime,int64,14950,0,2,0.0,1.0,0.3145819397993311,0.46436469145306947,0.03924619860638429
spread_expansion,int64,14950,0,2,0.0,1.0,0.004548494983277592,0.06729122572977173,0.03083020442778599
15m_atr_14,float64,14950,0,9245,0.12800000000000417,3.09428571428571,0.3027410559006211,0.05956572843812838,0.029724919791107314
30m_atr_14,float64,14950,0,8645,0.16000000000000267,2.997714285714289,0.29711997133301477,0.04403513885788686,0.026582667652916205
15m_micro_structure,int64,14950,0,3,-1.0,1.0,-0.0005351170568561873,0.22488143151950507,0.020679214518108474
liquidity_indicator,float64,14950,0,31,0.19607843137254904,0.47619047619047616,0.29570490867235044,0.07681138683842273,0.011680225481595289
15m_candle_4_Close,float64,14950,0,743,130.828,170.0,133.10380080267558,8.500761435404142,0.011620787418865469
15m_candle_4_High,float64,14950,0,1103,130.848,170.0,133.2489906354515,8.484176290642713,0.011570021414716922
15m_candle_4_Low,float64,14950,0,1382,130.439,169.966,132.95159137123747,8.489575497732126,0.011569130016711083
15m_candle_3_Low,float64,14950,0,1360,130.437,169.967,132.95211612040134,8.491326143470705,0.011560646602737347
15m_candle_4_Open,float64,14950,0,747,130.828,170.0,133.10400200668897,8.500515858711104,0.01153148283785527
15m_candle_3_Close,float64,14950,0,747,130.828,170.0,133.10400200668897,8.500515858711104,0.01153148283785527
15m_candle_1_High,float64,14950,0,1095,130.848,170.0,133.2456975250836,8.478153030037655,0.01152813017156369
15m_candle_2_Low,float64,14950,0,1378,130.438,169.972,132.95203772575252,8.49143132696221,0.01150528652662645
15m_candle_3_Open,float64,14950,0,740,130.828,170.0,133.10387157190635,8.500619938520895,0.01147675946600642
15m_candle_2_Close,float64,14950,0,740,130.828,170.0,133.10387157190635,8.500619938520895,0.01147675946600642
15m_candle_3_High,float64,14950,0,1101,130.85,170.0,133.2496506354515,8.484464657513856,0.011463198908047556
15m_candle_2_High,float64,14950,0,1102,130.848,170.0,133.249078729097,8.483930258358669,0.011433270344865782
15m_candle_2_Open,float64,14950,0,745,130.828,170.0,133.10417377926422,8.501281034790885,0.011416535099005209
15m_candle_1_Close,float64,14950,0,745,130.828,170.0,133.10155357859531,8.49594349452147,0.011404647672376797
15m_candle_1_Open,float64,14950,0,743,130.828,170.0,133.10118060200668,8.495423453636308,0.011386628405572105
30m_candle_1_Extra_1,float64,14950,0,31,2.0,5.0,3.4975384615384613,0.8628510696434197,0.011350368454103484
1h_Extra_1,float64,14950,0,31,2.0,5.0,3.5007357859531774,0.8657705391269469,0.011292840038459128
15m_candle_1_Low,float64,14950,0,1373,130.437,169.968,132.95088949832777,8.486313130626092,0.011286983864456993
15m_candle_1_Volume,float64,14950,0,3041,300.0,3982.0,1489.0541137123746,741.7156034076334,0.010499519482715509
spread_normalized,float64,14950,0,182,117.6470588235294,295.70051451889526,205.93440347105738,50.92849725990129,0.009940214483573078
15m_sma_20,float64,14950,0,810,130.828,170.0,133.10131161204012,8.493259294695408,0.009097666139267076
15m_candle_4_Extra_1,float64,14950,0,31,2.0,5.0,3.5012842809364546,0.8696645898754798,0.006749266515860978
30m_candle_2_Volume,float64,14950,0,5138,611.0,7932.0,2982.832040133779,1476.0283387919883,0.006602241770387881
30m_volume_ratio,float64,14950,0,14949,0.23313996215971103,3.0903456914928684,1.0229882943478188,0.4553432968334782,0.0059428917901826915
15m_candle_2_Volume,float64,14950,0,3063,308.0,3973.0,1489.166889632107,739.4303351842543,0.005744513031112477
volatility_expansion,int64,14950,0,2,0.0,1.0,0.5042140468227425,0.49999896414701916,0.005571295339572717
30m_candle_1_Volume,float64,14950,0,5165,615.0,7928.0,2990.392307692308,1480.7947291604555,0.004345927436403249
1h_volume_sma_20,float64,14950,0,12770,3983.55,8050.25,5957.632327759197,614.3072584234654,0.004044997739652732
15m_candle_3_Volume,float64,14950,0,3044,302.0,3986.0,1486.468227424749,742.2531417450515,0.0038773704718866983
30m_candle_2_Extra_1,float64,14950,0,31,2.0,5.0,3.5055183946488295,0.865239672254801,0.0037560985475811374
1h_hammer,int64,14950,0,2,0.0,1.0,0.00020066889632107025,0.014164817301609381,0.00357636094007318
15m_candle_4_Volume,float64,14950,0,3060,310.0,3966.0,1495.7816722408027,743.493671805347,0.003261054207155173
15m_candle_3_Extra_1,float64,14950,0,31,2.0,5.0,3.5092040133779268,0.8640040579139389,0.002735971310471169
15m_candle_2_Extra_1,float64,14950,0,31,2.0,5.0,3.5205819397993308,0.8686725939798905,0.0026678030285107236
30m_candle_1_Low,float64,14950,0,367,130.439,130.807,130.67847765886287,0.0796217536625639,0.0026161809155467873
swing_low_strength,float64,14950,0,4991,0.0,3.0328733962720893,0.3420456075039607,0.5699733316104162,0.0023080418497281306
volume_rate_of_change,float64,14950,0,14936,-90.9145248057382,967.9324894514767,27.533600336292125,97.25945904739856,0.002234464572059415
1h_Volume,float64,14950,0,7860,1229.0,15835.0,5957.743745819398,2960.9614614951197,0.002098970966193749
15m_volume_distribution,float64,14950,0,14887,0.06769410846664066,0.605683269476373,0.25097038232012897,0.08636284504129264,0.001378824504794612
30m_candle_2_High,float64,14950,0,368,130.849,170.0,130.97870675585287,0.3288198269392795,0.0013349752884811651
spread_percentile,float64,14950,0,199,0.01,1.0,0.503561872909699,0.28889376597364325,0.0012857084882168515
15m_candle_1_Extra_1,float64,14950,0,31,2.0,5.0,3.507578595317726,0.8653902881761828,0.0012361342211299326
momentum_acceleration,float64,14950,0,172,-1.3700000000000045,1.1480000000000246,0.0,0.052634983624047636,0.0011644654970709228
30m_candle_2_Low,float64,14950,0,370,130.438,169.706,130.68180528428093,0.3289503438664428,0.0011002005185074923
30m_candle_2_Close,float64,14950,0,2,130.828,170.0,130.83062020066887,0.3203724404533053,0.0005054464751280603
30m_candle_2_Open,float64,14950,0,2,130.828,170.0,130.83062020066887,0.3203724404533053,0.0005054464751280603
30m_volatility_20,float64,14950,0,2,0.0,1.0628214629754098,7.109173665387356e-05,0.008692400333390797,0.0005054464751280113
30m_sma_20,float64,14950,0,2,130.828,132.7866,130.82813101003345,0.016018622022665185,0.0005054464751280101
30m_market_structure,int64,14950,0,2,0.0,1.0,6.688963210702341e-05,0.008178608201095307,0.0005054464751280095
mtf_resistance_confluence,int64,14950,0,2,0.0,1.0,6.688963210702341e-05,0.008178608201095307,0.0005054464751280095
30m_candle_1_High,float64,14950,0,370,130.848,131.219,130.97755973244148,0.079280516975229,0.0004209134089540807
volume_above_average,int64,14950,0,2,0.0,1.0,0.422809364548495,0.49402219661042074,0.0002489728962583974
30m_candle_1_Close,float64,14950,0,1,130.828,130.828,130.828,1.7337822622531807e-11,0.0
30m_candle_1_Open,float64,14950,0,1,130.828,130.828,130.828,1.7337822622531807e-11,0.0
30m_macd_divergence,int64,14950,0,1,0.0,0.0,0.0,0.0,0.0
30m_rsi,float64,14950,0,1,100.0,100.0,100.0,0.0,0.0
30m_15m_momentum_sync,int64,14950,0,1,0.0,0.0,0.0,0.0,0.0
1h_lower_low,int64,14950,0,1,0.0,0.0,0.0,0.0,0.0
1h_higher_high,int64,14950,0,1,0.0,0.0,0.0,0.0,0.0
30m_engulfing,int64,14950,0,1,0.0,0.0,0.0,0.0,0.0
breakout_strength,float64,14950,0,1,0.0,0.0,0.0,0.0,0.0
mtf_support_confluence,int64,14950,0,1,0.0,0.0,0.0,0.0,0.0
timeframe_correlation,float64,0,14950,0,,,,,0.0
momentum_divergence_mtf,int64,14950,0,1,0.0,0.0,0.0,0.0,0.0
